Profile_id,Layer,Horizon code,Start (cm),End (cm),Organic Matter (%),Clay (<2 mu) (%),Silt (2-50 mu) (%),Loam (=silt+clay) (%),Sand (>50mu) (%),Median of sand fraction (mu),pH-KCl,CEC (mmol/kg),Ca-exch (mmol/kg),K-exch (mmol/kg),kationen Na-uit (mmol/kg),kationen Mg-uit (mmol/kg),Total P (mg P2O5/kg),Carbon (%),Total N(%),Bulk density (g per cm3),Laboratory code,Org. matter method,pH method,CEC method,Ca Mg method,Na K method,Total P method,Carbon Method,Total N method,Texture method (m = measurement; s = hand estimate),Soil Classification code,Soil map legend code,X,Y,Year
294,7,1Cg4,100,128,0.2,5,7,12,88,100,7.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p235a,Mn,48910,366410,1967
294,8,1Cg5,128,145,0.1,6,13,19,81,85,7.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p235a,Mn,48910,366410,1967
294,9,2Cg,145,167,0.7,25,53,78,22,70,7.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p235a,Mn,48910,366410,1967
305,1,1Aap,0,25,1.7,6,12,18,82,220,4.4,-99,-99,-99,-99,-99,1,-99,0.1,-99,BL,134-2,2,,,,23,,39,m,4r513t6,bEZ,211425,381350,1970
305,2,1Aa,25,40,1.1,7,14,21,80,215,4.4,-99,-99,-99,-99,-99,1,-99,0.1,-99,BL,134-2,2,,,,23,,39,m,4r513t6,bEZ,211425,381350,1970
305,3,1Aag,40,56,1,7,20,27,73,195,4.2,-99,-99,-99,-99,-99,1,-99,0.1,-99,BL,134-2,2,,,,23,,39,m,4r513t6,bEZ,211425,381350,1970
305,4,1Ahb,56,70,1.5,9,25,34,66,175,4.4,-99,-99,-99,-99,-99,1,-99,0.1,-99,BL,134-2,2,,,,23,,39,m,4r513t6,bEZ,211425,381350,1970
305,5,1Cg1,80,95,0.4,10,31,41,59,150,4.5,-99,-99,-99,-99,-99,1,-99,-99,-99,BL,134-2,2,,,,23,,,m,4r513t6,bEZ,211425,381350,1970
305,6,1Cg2,120,130,0,5,5,10,90,155,4.8,-99,-99,-99,-99,-99,0,-99,-99,-99,BL,134-2,2,,,,23,,,m,4r513t6,bEZ,211425,381350,1970
310,1,1Ap,0,25,2.1,15,37,52,49,90,7,-99,168,2,2,7,-99,-99,-99,-99,BL,135,2,,130B,130A,,,,m,M5p225ap8,Mn,16150,366380,1963
310,2,1Cu,25,40,0.9,11,32,43,57,85,7.4,-99,105,1,2,4,-99,-99,-99,-99,BL,135,2,,130B,130A,,,,m,M5p225ap8,Mn,16150,366380,1963
310,3,1Cg1,40,60,0.7,7,27,34,67,80,7.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M5p225ap8,Mn,16150,366380,1963
310,4,1Cg2,60,82,0.6,12,47,59,42,85,7.7,-99,121,1,2,5,-99,-99,-99,-99,BL,135,2,,130B,130A,,,,m,M5p225ap8,Mn,16150,366380,1963
310,5,2Ahb,82,95,1.3,0,5,5,95,135,7.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,134-2,2,,,,,,,m,M5p225ap8,Mn,16150,366380,1963
310,6,2Ce,95,120,0.5,0,6,6,95,125,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,M5p225ap8,Mn,16150,366380,1963
311,1,1Ahg,0,6,12.4,25,58,83,18,80,5.6,-99,-99,-99,-99,-99,-99,-99,-99,-99,BL,135,2,,,,,,,m,gM5p315b,gMn,20645,372865,1959
